%
% ARFF data file, generated by KNIME
%
% Date: Tue Apr 14 11:57:48 CEST 2015
% User: carlosan
%

@RELATION DataTable
@ATTRIBUTE MONTH	{October,June,April,December,November,July,January,September,May,February,August,March}
@ATTRIBUTE HOUR	{21:00,17:00,2:00,4:00,11:00,13:00,15:00,22:00,23:00,7:00,0:00,18:00,6:00,1:00,16:00,12:00,5:00,20:00,3:00,19:00,14:00,8:00,10:00,9:00}
@ATTRIBUTE pressure	INTEGER
@ATTRIBUTE three_hour_pressure_change	INTEGER
@ATTRIBUTE wind_direction	INTEGER
@ATTRIBUTE wind_speed	REAL
@ATTRIBUTE visibility	INTEGER
@ATTRIBUTE cloud_cover	INTEGER
@ATTRIBUTE height_of_base_of_cloud	INTEGER
@ATTRIBUTE dewpoint	REAL
@ATTRIBUTE drybulb	REAL
@ATTRIBUTE char_pressure_tendency_string	{lower,higher,'same or lower',steady,'same or higher'}
@ATTRIBUTE present_weather_string	{'no meteors during the past hour',rain,'showery precipitation','solid precipitation not in showers',drizzle,'showers of rain',precipitation,'fog or ice fog preceding hour',mist,snow,fog,patches,'thunderstorm preceding hour',lightning,'freezing drizzle or rain','showers of snow','thunderstorm no precipitation','rain and snow','showers of hail','haze dust or smoke','funnel clouds'}
@ATTRIBUTE past_weather1_string	{'cloud covering the sky',rain,thunderstorm,snow,showers,drizzle,'fog or ice fog or thick haze'}
@ATTRIBUTE past_weather2_string	{'cloud covering the sky',rain,drizzle,snow,'fog or ice fog or thick haze',showers,thunderstorm,'sandstorm duststorm or blowing snow'}
@ATTRIBUTE cloud_type_string	{'stratus nebulosus','cumulus and stratocumulus not cumulogenitus','low clouds invisible due to darknes fog dust or sand','stratocumulus not cumulogenitus','cumulus humilis','stratus fractus','cumulus mediocris','no low clouds','cumulonimbus capillatus','stratocumulus cumulogenitus','cumulunimbus calvus'}
@ATTRIBUTE FOG+3	{NO,YES}

@DATA
July,14:00,100140,-280,100,9.719,25000,1,8000,12.95,29.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,17:00,99630,-10,150,77.752,15000,7,1250,4.55,10.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,2:00,99530,40,0,0.0,6000,7,80,8.45,9.25,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
April,15:00,100380,-120,360,19.438,10000,5,1250,4.75,13.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
September,9:00,100970,90,10,116.628,6000,5,250,13.55,18.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
January,8:00,99700,180,10,77.752,1500,8,80,0.25,0.65,higher,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
March,3:00,99210,-180,210,174.942,15000,6,450,2.75,6.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,11:00,100260,100,280,174.942,25000,5,1250,10.45,22.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,1:00,100020,0,340,38.876,9000,7,80,15.25,15.55,'same or higher',rain,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
September,13:00,100000,60,?,?,8000,8,450,9.75,12.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
June,19:00,100810,50,270,77.752,35000,7,1250,12.65,22.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus cumulogenitus',NO
June,4:00,100800,60,280,38.876,5000,7,150,10.15,10.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
September,3:00,101010,-60,20,77.752,12000,0,?,8.05,10.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
March,6:00,100320,40,100,116.628,7000,6,1750,0.45,3.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,3:00,101450,40,260,38.876,15000,2,1250,10.15,11.45,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,12:00,101480,30,230,19.438,18000,7,800,5.95,11.85,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
April,19:00,100900,30,90,77.752,25000,0,?,-10.65,5.55,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
June,13:00,100950,-70,310,9.719,35000,7,1250,6.15,17.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,15:00,100400,-20,340,38.876,20000,6,1250,14.95,24.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
November,17:00,100150,20,90,38.876,10000,5,3500,9.05,10.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,14:00,101890,-130,30,155.504,30000,3,8000,6.15,20.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,11:00,99870,260,20,272.132,8000,8,450,-4.85,-2.35,higher,snow,snow,'cloud covering the sky','stratocumulus not cumulogenitus',NO
February,14:00,101490,280,280,155.504,30000,6,1250,3.75,11.25,higher,'showery precipitation',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
December,9:00,100490,80,20,77.752,9000,0,?,-6.55,-3.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
September,4:00,98710,40,300,116.628,10000,7,1250,9.45,10.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,8:00,100940,30,110,38.876,8000,5,8000,7.75,9.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,22:00,99290,240,330,136.066,7000,7,250,5.95,7.35,higher,'showery precipitation',showers,rain,'stratocumulus not cumulogenitus',NO
July,22:00,100430,70,270,58.314,25000,7,1750,8.05,15.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,14:00,100920,-250,190,116.628,25000,7,8000,4.75,24.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,2:00,98980,80,280,77.752,7000,8,250,9.55,10.15,higher,rain,rain,rain,'stratocumulus not cumulogenitus',NO
March,18:00,100700,30,300,58.314,15000,1,1750,2.65,9.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,13:00,100800,110,240,38.876,30000,5,1250,3.55,16.15,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
April,21:00,99290,20,350,38.876,4000,7,150,11.35,11.95,'same or higher',rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
March,18:00,101650,40,40,155.504,5000,1,8000,1.65,6.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,4:00,99980,-100,280,58.314,6000,5,3500,2.05,3.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,5:00,100330,-50,250,174.942,20000,7,450,9.95,12.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,5:00,100320,80,220,116.628,20000,7,1250,7.05,11.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,1:00,100170,-210,140,77.752,7000,7,3500,-2.75,-1.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,0:00,98220,170,280,58.314,15000,0,?,-2.95,-0.55,higher,'no meteors during the past hour',showers,snow,'low clouds invisible due to darknes fog dust or sand',NO
December,21:00,101010,0,180,58.314,6000,0,?,0.35,0.75,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
November,9:00,100660,430,340,9.719,20000,4,450,2.45,5.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,12:00,100590,-90,60,136.066,35000,4,1750,5.35,20.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
July,17:00,100540,-50,190,58.314,20000,7,1250,16.65,24.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
March,1:00,98560,200,260,136.066,15000,6,450,4.75,7.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,9:00,99130,50,260,77.752,25000,5,800,5.45,12.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
February,19:00,102200,20,180,58.314,13000,4,3500,2.85,6.75,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,16:00,99440,50,290,9.719,7000,7,450,-0.15,2.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
August,7:00,100690,80,270,38.876,25000,4,8000,11.65,16.45,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,2:00,99760,60,230,77.752,20000,4,3500,9.05,10.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,0:00,101050,-60,290,38.876,15000,8,1750,9.75,13.75,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
September,14:00,100620,-110,360,58.314,30000,3,1750,2.15,15.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,21:00,100560,40,220,9.719,15000,7,1750,7.55,14.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,15:00,99860,60,210,77.752,20000,7,450,6.35,12.95,higher,'no meteors during the past hour',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
August,21:00,100010,10,10,58.314,20000,7,1750,12.85,22.95,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
January,0:00,100080,-140,180,9.719,15000,7,1750,3.45,6.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,8:00,98640,50,170,136.066,12000,7,1250,4.15,9.55,higher,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
June,0:00,101430,0,20,58.314,15000,2,8000,7.95,11.85,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,5:00,100310,-30,160,38.876,30000,6,3500,8.95,12.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,1:00,100110,-50,210,58.314,25000,2,8000,12.75,17.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,22:00,99850,-60,260,116.628,25000,7,800,4.55,8.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,14:00,101020,-80,40,58.314,30000,5,8000,12.45,26.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,2:00,97570,100,190,136.066,8000,8,150,8.55,8.85,higher,rain,rain,rain,'stratus fractus',NO
February,21:00,100020,50,110,77.752,15000,7,3500,-1.05,10.05,?,'no meteors during the past hour',rain,'cloud covering the sky','no low clouds',NO
August,19:00,100030,150,10,58.314,12000,7,1750,15.35,18.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
November,15:00,101040,-10,240,58.314,5000,8,150,6.35,7.55,'same or lower',rain,rain,'cloud covering the sky','stratus nebulosus',NO
November,17:00,100030,-20,90,58.314,5000,8,150,6.25,7.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,22:00,100570,100,240,19.438,10000,8,800,8.95,13.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,4:00,101260,-20,20,77.752,3000,0,?,9.45,10.65,lower,mist,'cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
September,0:00,101340,40,10,58.314,9000,0,?,11.45,13.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
June,11:00,100710,40,220,77.752,25000,7,800,9.35,16.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
December,11:00,99580,-30,180,116.628,15000,7,1250,2.45,6.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,12:00,101720,-130,70,77.752,13000,1,8000,-4.35,1.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
November,21:00,99430,120,10,58.314,6000,7,80,10.15,10.95,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
October,12:00,100360,190,270,77.752,15000,6,450,11.45,15.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,5:00,101350,30,50,58.314,3000,7,80,8.15,8.95,higher,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
September,6:00,101180,120,250,19.438,12000,3,1250,5.45,7.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,0:00,101290,-90,20,77.752,12000,3,8000,7.05,10.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,11:00,100130,80,350,116.628,15000,4,800,-3.85,2.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
May,16:00,100730,50,270,116.628,25000,2,1250,3.85,14.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,23:00,100300,120,180,58.314,15000,5,1250,9.45,14.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
June,12:00,99470,110,100,9.719,30000,1,2250,10.45,27.75,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
October,0:00,100970,50,60,77.752,25000,0,?,0.55,5.35,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
September,13:00,99480,-150,60,77.752,25000,7,450,11.35,15.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
October,10:00,100140,140,360,9.719,25000,3,450,8.35,11.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
October,0:00,102050,20,30,38.876,15000,4,8000,6.55,8.25,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,16:00,100460,270,310,77.752,20000,7,800,3.25,7.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,17:00,100920,-10,230,136.066,30000,7,1750,8.25,19.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,12:00,100880,-40,360,77.752,12000,6,800,3.25,11.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,20:00,100570,0,10,77.752,20000,0,?,6.05,14.45,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
June,0:00,100450,20,240,9.719,30000,5,1750,12.05,16.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,7:00,101020,110,50,77.752,3500,0,?,-1.95,0.55,higher,mist,'cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
November,16:00,100060,-160,20,9.719,20000,7,1750,10.15,15.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,16:00,100110,-160,100,116.628,18000,7,800,13.25,20.05,lower,precipitation,'cloud covering the sky','cloud covering the sky','cumulunimbus calvus',NO
May,8:00,101280,30,80,136.066,12000,2,8000,8.95,17.55,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,23:00,100330,180,40,58.314,3000,8,150,0.45,1.15,higher,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
March,11:00,100950,-20,260,9.719,10000,7,450,10.35,14.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,0:00,99610,80,260,38.876,15000,0,?,11.05,12.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
March,22:00,101000,-10,70,77.752,10000,0,?,3.35,10.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,12:00,101910,50,200,58.314,5000,4,8000,5.65,13.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,16:00,101560,90,240,155.504,25000,7,800,6.35,11.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,13:00,100070,0,290,9.719,25000,7,1250,11.75,19.75,steady,'showers of rain',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
April,3:00,99220,-50,330,136.066,12000,7,450,4.85,7.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
March,17:00,99640,40,220,136.066,10000,8,250,12.35,13.15,higher,rain,rain,rain,'stratocumulus not cumulogenitus',NO
March,11:00,100830,-110,170,77.752,8000,2,8000,7.55,18.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,5:00,99480,350,180,136.066,8000,8,250,7.35,8.85,?,'showery precipitation',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
October,9:00,99020,-210,120,136.066,10000,8,150,6.55,8.55,lower,'no meteors during the past hour','fog or ice fog or thick haze','cloud covering the sky','stratus nebulosus',NO
February,10:00,101690,230,10,116.628,15000,3,450,2.05,6.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,20:00,100200,60,50,58.314,17000,4,1250,11.15,15.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,3:00,101230,-70,50,9.719,20000,0,?,4.65,8.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
September,12:00,99960,290,260,116.628,4000,8,250,14.55,15.35,higher,rain,rain,drizzle,'stratocumulus not cumulogenitus',NO
April,4:00,100410,-40,10,136.066,15000,0,?,1.55,3.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
January,23:00,102390,-60,180,38.876,13000,0,?,-0.05,2.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
January,0:00,101290,180,230,77.752,20000,0,?,3.45,5.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
August,6:00,101000,70,20,77.752,800,7,80,12.45,13.35,higher,fog,'fog or ice fog or thick haze','cloud covering the sky','stratus nebulosus',NO
May,5:00,100330,140,250,77.752,15000,6,800,5.15,8.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,8:00,100780,50,250,19.438,10000,6,3500,6.75,11.25,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,21:00,99810,220,240,38.876,25000,7,1250,10.55,11.45,higher,'no meteors during the past hour',showers,rain,'stratocumulus not cumulogenitus',NO
July,12:00,99750,-130,180,116.628,15000,4,1750,12.65,29.25,lower,'no meteors during the past hour',rain,'cloud covering the sky','stratocumulus cumulogenitus',NO
April,13:00,100580,-40,80,58.314,10000,6,8000,11.75,24.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,23:00,97840,170,250,174.942,20000,5,800,0.45,4.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,13:00,97420,-290,190,19.438,25000,7,800,4.05,10.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
November,20:00,101000,-130,80,58.314,10000,0,?,-0.85,1.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
October,9:00,98320,20,180,136.066,15000,7,450,12.15,14.25,'same or higher','no meteors during the past hour',showers,rain,'stratocumulus not cumulogenitus',NO
January,18:00,101540,110,290,58.314,25000,8,800,4.25,7.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
October,8:00,99870,-50,160,77.752,5000,8,80,16.15,16.65,'same or lower',rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
July,4:00,99700,40,260,77.752,15000,7,800,13.65,17.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,5:00,99990,-10,220,136.066,40000,7,1750,8.95,14.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,4:00,99650,-110,180,77.752,20000,4,3500,11.15,14.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,7:00,100280,-30,360,77.752,5000,8,150,7.45,9.15,lower,drizzle,drizzle,'cloud covering the sky','stratus nebulosus',NO
October,20:00,100300,210,320,19.438,15000,7,3500,13.05,14.85,higher,rain,rain,'cloud covering the sky','no low clouds',NO
June,15:00,100910,0,320,38.876,30000,8,800,15.55,20.55,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,16:00,99030,-60,160,136.066,25000,7,1250,13.05,24.15,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,14:00,100170,-30,190,9.719,12000,8,800,16.05,19.55,lower,rain,rain,rain,'cumulus and stratocumulus not cumulogenitus',NO
September,0:00,99310,20,210,174.942,20000,5,800,10.65,15.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,20:00,99890,-120,60,77.752,25000,5,8000,11.55,24.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,23:00,100980,50,30,77.752,11000,7,800,14.15,16.45,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,15:00,99780,-150,200,155.504,25000,7,450,7.55,10.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,12:00,100410,-90,350,58.314,30000,5,1250,8.05,20.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
October,22:00,101290,0,290,19.438,25000,6,1750,5.55,8.85,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,3:00,99460,-180,100,9.719,20000,2,8000,10.75,19.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
November,23:00,100120,30,170,9.719,20000,0,?,5.25,10.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
April,18:00,101030,-30,80,9.719,10000,7,1250,-0.85,7.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,11:00,100260,-100,100,136.066,10000,5,3500,2.55,9.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,11:00,99410,70,230,155.504,15000,7,800,9.95,14.95,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
May,21:00,100860,140,360,58.314,8000,7,450,13.95,15.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,2:00,102020,-140,330,9.719,7000,8,1250,5.65,7.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,21:00,99500,10,40,9.719,8000,8,1750,-2.55,3.45,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,0:00,101650,0,40,77.752,9000,0,?,0.95,2.45,steady,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
November,8:00,100160,10,290,38.876,30000,3,800,-1.85,2.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,5:00,100240,-50,250,58.314,7000,7,150,11.75,12.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,15:00,100010,-140,250,155.504,25000,4,1250,10.35,21.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
June,9:00,100500,10,210,77.752,20000,3,1250,13.65,24.15,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
February,16:00,101620,?,170,58.314,9000,3,3500,2.15,10.85,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,8:00,99420,110,230,58.314,12000,6,1250,-2.95,-0.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,9:00,100020,160,290,9.719,5000,8,150,1.75,2.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,14:00,101580,-100,70,136.066,25000,6,800,2.25,6.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,15:00,101050,-10,350,77.752,40000,6,1250,8.95,18.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,11:00,100690,-60,340,38.876,30000,2,1250,9.05,23.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
February,11:00,100490,160,230,174.942,5000,8,450,10.85,12.45,higher,drizzle,rain,drizzle,'stratocumulus not cumulogenitus',NO
October,6:00,100970,-40,170,77.752,15000,7,3500,4.35,7.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,7:00,100550,-10,160,58.314,25000,5,8000,12.45,18.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,16:00,100480,-20,30,58.314,10000,7,450,12.65,16.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,4:00,100230,-10,50,38.876,15000,1,8000,9.05,12.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,12:00,100020,0,230,136.066,25000,6,1250,15.45,26.05,steady,'no meteors during the past hour',showers,rain,'cumulus humilis',NO
